chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.228792318,-0.517531817,1,0,1,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.34505208,4.9939,space,36.94847783,6.3493,0,26,26,26,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,1.236,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.244900174,-0.539280422,1,0,1,LeftButton,"[""LeftButton""]",22,2.0473,space,,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,0.9011,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.305414497,-0.528133717,1,0,1,RightButton,"[""RightButton""]",,,,4.945176866,1.8546,space,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,0.6398,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.312863498,-0.469011506,1,0,1,LeftButton,"[""LeftButton""]",30,2.3395,space,,,,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,0.5577,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.336507161,-0.518948309,1,0,1,RightButton,"[""RightButton""]",,,,4.946967231,2.856,space,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,0.8033,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.272531467,-0.519438633,1,0,1,LeftButton,"[""LeftButton""]",,,,,,,31,3.7038,space,0.5855,12,6.0591,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.318674045,-0.480005666,1,0,1,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,32,32,32,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.232307943,-0.457690464,1,0,1,LeftButton,"[""LeftButton""]",,,,4.9921875,1.9683,space,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,0.6245,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.286821832,-0.539400279,1,0,1,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.23308168,3.3573,space,28.08214524,4.6307,0,34,34,34,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.59,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.247363281,-0.530650715,1,0,1,LeftButton,"[""LeftButton""]",30,1.4874,space,,,,,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,0.4982,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,0.288774957,-0.520964086,1,0,1,RightButton,"[""RightButton""]",,,,,,,38,5.1004,space,0.5143,11,6.8261,,,,,,0,36,36,36,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.282557509,-0.544684885,1,0,1,RightButton,"[""RightButton""]",,,,4.974663628,1.4554,space,,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,0.6033,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.262369792,-0.526575575,1,0,1,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,69.70716277,2.3804,space,20.61927872,3.6318,0,38,38,38,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,0.3637,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.283349609,-0.514437326,1,0,1,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,39,39,39,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,0.276974826,-0.535750087,1,0,1,RightButton,"[""RightButton""]",,,,,,,60,1.8723,space,0.6165,21,4.0494,,,,,,0,40,40,40,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.322900391,-0.470809362,1,0,1,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,41,41,41,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,0.268603516,-0.52820999,1,0,1,RightButton,"[""RightButton""]",,,,4.955186632,3.4302,space,,,,,,,,,,,,,,,,,1,both_wrong.png,1,RandomDot23.png,No answer,21,0.9299,,,,0,0,0,0,1
