chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.336111111,-0.531111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,3.716,space,0,5.398,,,,,,,0,30,30,30,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,0.666,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.356944444,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,0.951388889,4.617,space,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,0.973
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Greater,Smaller,,,0.305555556,-0.513333333,1,0,0,RightButton,"[""RightButton""]",,,,2.506944444,3.184,space,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.331944444,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",6,5.285,space,,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,0.657,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,0.329166667,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Greater,Smaller,,,0.329166667,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,63.32772166,5.531,space,0.282,6.088664422,6.679,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.316666667,-0.5,1,0,0,LeftButton,"[""LeftButton""]",26,8.452,space,,,,,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,4.082,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.275,-0.466666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,68.37822671,2.859,space,0.286,4.826038159,4.492,0,37,37,37,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Greater,Smaller,,,0.336111111,-0.54,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,38,38,38,1,0,both_right.png,3,RandomDot17.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Greater,Smaller,,,0.273611111,-0.531111111,1,0,0,RightButton,"[""RightButton""]",,,,1,3.816,space,,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,1.028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.338888889,-0.493333333,1,0,0,LeftButton,"[""LeftButton""]",,,,2.493055556,4.05,space,,,,,,,,,,,,0,40,40,40,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,0.604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Greater,Smaller,,,0.255555556,-0.497777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,16,3.849,space,0,5.265,,,,,,,0,41,41,41,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,0.424,
