StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,participantIDque,Gender,Gender_5_TEXT,Q6,Q7,Q7_2_TEXT,Q9,status,naodao_id
2024-05-18 10:52:22,2024-05-18 10:52:36,IP Address,169.231.112.59,100,13,True,2024-05-18 10:52:36,R_3D1d0tqW7OLracI,,,,,34.4265,-119.8631,anonymous,ZH-S,是,zsc,,,,,,,1,844391967898083329
2024-05-19 13:44:12,2024-05-19 13:44:31,IP Address,184.189.252.12,100,18,True,2024-05-19 13:44:32,R_5rAGehyHY4VHJ6G,,,,,34.4216,-119.7068,anonymous,ZH-S,是,hongyuluo,男性,,20,汉族,,高中或中专,1,844797616964505602
2024-05-20 22:20:00,2024-05-20 22:20:54,IP Address,108.147.175.105,100,54,True,2024-05-20 22:20:55,R_1OjihNZ4Q5g2kSV,,,,,29.7638,-95.4924,anonymous,ZH-S,是,用户55437,非二元性别,,21,少数民族（请注明）,朝鲜族,高中或中专,1,845289588909023234
2024-05-30 09:49:47,2024-05-30 09:50:14,IP Address,14.26.129.148,100,27,True,2024-05-30 09:50:15,R_4SnSz4O3t3kxeb7,,,,,21.8549,111.9596,anonymous,ZH-S,是,,男性,,1995,汉族,,大专或大学肄业,1,848724788678631426
2024-05-30 09:49:50,2024-05-30 09:51:02,IP Address,112.111.197.33,100,71,True,2024-05-30 09:51:03,R_4s50UGYbk49EJVH,,,,,24.4793,118.0673,anonymous,ZH-S,是,爱购i,男性,,22,汉族,,大学（学士学位）,1,848724887395897345
2024-05-30 09:52:04,2024-05-30 09:53:18,IP Address,171.106.22.219,100,74,True,2024-05-30 09:53:19,R_6r0OhFusFwO0MrG,,,,,25.2814,110.299,anonymous,ZH-S,是,用户30686,男性,,1995,汉族,,研究生或博士学位（如硕士、博士、医学博士）,1,848725449428439041
2024-05-30 09:52:31,2024-05-30 09:53:46,IP Address,144.0.180.134,100,74,True,2024-05-30 09:53:46,R_6NyU7sQK4DA6sVj,,,,,35.2394,115.4719,anonymous,ZH-S,是,快乐修勾,女性,,22,汉族,,大学（学士学位）,1,848725570488508417
2024-05-30 09:53:41,2024-05-30 09:54:29,IP Address,111.58.223.127,100,48,True,2024-05-30 09:54:30,R_40uiRo6IAe7vyCd,,,,,22.8111,108.3168,anonymous,ZH-S,是,一 一,女性,,22,汉族,,大学（学士学位）,1,848725787036229633
2024-05-30 09:54:03,2024-05-30 09:54:57,IP Address,171.106.120.115,100,54,True,2024-05-30 09:54:58,R_4eledOp8skq7Y2l,,,,,23.1181,113.2539,anonymous,ZH-S,是,好运跟着来呗,男性,,22,汉族,,大专或大学肄业,1,848725816732028930
2024-05-30 09:54:04,2024-05-30 09:55:06,IP Address,36.129.58.134,100,62,True,2024-05-30 09:55:07,R_4cuswryopy4G0XL,,,,,41.7806,123.4314,anonymous,ZH-S,是,4656565,男性,,21,汉族,,大学（学士学位）,1,848725119697297410
2024-05-30 09:54:57,2024-05-30 09:56:00,IP Address,61.158.134.211,100,62,True,2024-05-30 09:56:01,R_4mk8fRz90zDZJSi,,,,,34.7599,113.6459,anonymous,ZH-S,是,繁星点点,女性,,22,汉族,,大学（学士学位）,1,848725136818573314
2024-05-30 09:53:52,2024-05-30 09:56:46,IP Address,112.224.22.107,100,174,True,2024-05-30 09:56:47,R_4s1rEkKdO1ii24X,,,,,36.6756,117.0211,anonymous,ZH-S,是,山鬼丫,女性,,22,汉族,,大学（学士学位）,1,848725899217211394
2024-05-30 09:54:06,2024-05-30 09:56:53,IP Address,111.58.69.71,100,167,True,2024-05-30 09:56:54,R_42KUi2bvkIIwu4N,,,,,23.7498,109.2169,anonymous,ZH-S,是,用户7465,男性,,22,汉族,,大专或大学肄业,1,848725856342908930
2024-05-30 09:55:14,2024-05-30 09:57:21,IP Address,58.144.197.98,100,127,True,2024-05-30 09:57:22,R_45H1H2KTiC778AO,,,,,34.7732,113.722,anonymous,ZH-S,是,守护,男性,,31,汉族,,大学（学士学位）,1,848725598238023682
2024-05-30 09:56:33,2024-05-30 09:58:17,IP Address,113.77.54.2,100,104,True,2024-05-30 09:58:18,R_42WkPcbcJGwJJh7,,,,,22.5559,114.0577,anonymous,ZH-S,是,笙笙,女性,,21,汉族,,大学（学士学位）,1,848725030262280194
2024-05-30 09:54:34,2024-05-30 09:58:21,IP Address,58.144.197.98,100,227,True,2024-05-30 09:58:22,R_4Y4B7ggliBXurT7,,,,,34.7732,113.722,anonymous,ZH-S,是,用户41526,男性,,28,汉族,,大学（学士学位）,1,848725793700978690
2024-05-30 09:58:01,2024-05-30 09:58:30,IP Address,210.75.240.11,100,29,True,2024-05-30 09:58:30,R_5v0Pkfn3mQ4vUDd,,,,,22.5559,114.0577,anonymous,ZH-S,是,王子鸣,男性,,21,汉族,,大学（学士学位）,1,848725339197808641
2024-05-30 09:58:52,2024-05-30 09:59:35,IP Address,219.152.93.71,100,42,True,2024-05-30 09:59:35,R_6zlpT1LmwNQiVcB,,,,,30.2994,120.1612,anonymous,ZH-S,是,加多宝,女性,,24,汉族,,大学（学士学位）,1,848725277101264898
2024-05-30 10:25:28,2024-05-30 10:26:06,IP Address,113.14.154.252,100,38,True,2024-05-30 10:26:07,R_3PczBppOIb9X8uV,,,,,34.7732,113.722,anonymous,ZH-S,是,我努力赚钱,男性,,23,汉族,,大学（学士学位）,1,848725714357329922
2024-05-30 10:31:50,2024-05-30 10:32:17,IP Address,120.204.204.189,100,26,True,2024-05-30 10:32:17,R_4dW2kWjJq85e1Bz,,,,,31.2222,121.4581,anonymous,ZH-S,是,er3,女性,,21,汉族,,大学（学士学位）,1,848725658434674689
2024-05-30 10:30:51,2024-05-30 10:33:58,IP Address,36.35.119.118,100,187,True,2024-05-30 10:33:58,R_4yx2iP418Pda0N3,,,,,34.7732,113.722,anonymous,ZH-S,是,这是一个小天才,男性,,21,汉族,,大学（学士学位）,1,848735087016157186
2024-05-30 11:03:04,2024-05-30 11:03:37,IP Address,123.138.250.172,100,32,True,2024-05-30 11:03:38,R_4VNElhWuFgxGfcs,,,,,34.3287,109.0337,anonymous,ZH-S,是,笙笙,女性,,21,汉族,,大学（学士学位）,1,848743280937275393
2024-05-30 11:05:45,2024-05-30 11:06:04,IP Address,36.155.12.167,100,19,True,2024-05-30 11:06:05,R_4MmR6Pk8j3RYu3k,,,,,31.2222,121.4581,anonymous,ZH-S,是,sppq,女性,,22,汉族,,大学（学士学位）,1,848725925486010369
2024-05-30 13:11:33,2024-05-30 13:13:20,IP Address,14.150.9.99,100,106,True,2024-05-30 13:13:20,R_6FPqmMJ2Nchjvdb,,,,,23.1072,114.3997,anonymous,ZH-S,是,土豆洋芋薯片,女性,,22,汉族,,大学（学士学位）,1,848775654567714817
2024-05-30 21:51:42,2024-05-30 21:53:35,IP Address,183.226.24.117,100,112,True,2024-05-30 21:53:35,R_4aRjZvQAoZul9nP,,,,,29.5689,106.5577,anonymous,ZH-S,是,用户36022,女性,,21,汉族,,大学（学士学位）,1,848906503175016449
2024-05-30 21:51:58,2024-05-30 21:55:14,IP Address,112.8.216.172,100,196,True,2024-05-30 21:55:15,R_4oCNvGBspuI6MzT,,,,,37.4454,116.3429,anonymous,ZH-S,是,挽冬,女性,,22,汉族,,大学（学士学位）,1,848906521894195201
2024-05-31 10:10:07,2024-05-31 10:11:52,IP Address,36.20.91.146,100,105,True,2024-05-31 10:11:53,R_4WTrKEww5RAh68x,,,,,30.2994,120.1612,anonymous,ZH-S,是,Kaoru,男性,,22,汉族,,大学（学士学位）,1,849092383235776514
