UserLanguage,gender,gender_5_TEXT,age,ethnic,ethnic_10_TEXT,politic,politic_5_TEXT,education,language,language_8_TEXT,ResponseID,SONAid
EN,Female,,19,"White/Caucasian,Asian",,Democrat,,Some college or associate degree,English,,R_3Q0hxo6o4VzEqse,120240
EN,Female,,19,"White/Caucasian,Asian",,Democrat,,Some college or associate degree,English,,R_3Pc1z7ik3ZDl0Sa,120240
EN,Female,,20,Hispanic or Latino,,Don't know,,Some college or associate degree,Spanish,,R_1GfjS95mPF5SQdH,116230
EN,Female,,20,Hispanic or Latino,,Don't know,,Some college or associate degree,Spanish,,R_5CJkYwA7Uppmu2R,116230
EN,Female,,20,Hispanic or Latino,,Don't know,,Some college or associate degree,Spanish,,R_2yf0ci11eFudxZ9,116230
EN,Female,,20,Hispanic or Latino,,Prefer not to say,,High school (including GED),Spanish,,R_3MItgNusMrRSacN,120462
EN,Female,,18,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_1c6rLiAjvN0tHVq,120472
EN,Female,,18,Hispanic or Latino,,Democrat,,Some college or associate degree,Other (please specify),Spanish ,R_7N8sGdwTF0NLCP6,120472
EN,Male,,18,Hispanic or Latino,,Democrat,,High school (including GED),Spanish,,R_3OSqX6BirtbfW13,120472
EN,,,,,,,,,,,R_3SlUwNPoAcPxhrb,111111
EN,,,,,,,,,,,R_3VfGmN3kRO9xCTg,111111
EN,Female,,19,Asian,,Prefer not to say,,High school (including GED),Mandarin,,R_2Yw6CLfRrTOnl9T,120783
EN,Female,,19,Asian,,Prefer not to say,,High school (including GED),Mandarin,,R_4dz2AQUg82nrh9r,120783
EN,Female,,19,Asian,,Prefer not to say,,High school (including GED),Mandarin,,R_71Et5V1BaqiJuoR,120783
EN,Female,,21,Hispanic or Latino,,Democrat,,Some college or associate degree,English,,R_3YovKuFHnYI49gt,120331
EN,Female,,19,"White/Caucasian,Asian",,Democrat,,Some college or associate degree,English,,R_3bNMAkMCLdBCePj,120240
EN,Female,,18,Hispanic or Latino,,Don't know,,High school (including GED),Spanish,,R_5EccKcotuRFOO33,120209
EN,Female,,19,"White/Caucasian,Asian",,Democrat,,Some college or associate degree,English,,R_2rwbUc8f78WmBxa,120240
EN,Female,,18,Hispanic or Latino,,Democrat,,High school (including GED),English,,R_3fw1uyYv6v4ZVJe,120482
EN,Female,,18,Hispanic or Latino,,Democrat,,High school (including GED),English,,R_1MJr8NKNf8pAoJV,120482
EN,Female,,20,Asian,,Democrat,,High school (including GED),English,,R_1Et4aI0weGQGovt,120280
EN,Female,,18,White/Caucasian,,Democrat,,Some college or associate degree,English,,R_3NHYjetBGepYbrK,120245
EN,Female,,19 ,White/Caucasian,,Don't know,,Some college or associate degree,English,,R_2Ih3n8LBAWog8ps,120456
EN,Female,,19,African-American,,Don't know,,Some college or associate degree,English,,R_31BwcmFMmY8Wg3q,120315
EN,Female,,19,White/Caucasian,,Don't know,,Some college or associate degree,English,,R_7eap0FQxb1TrCnY,120456
EN,Female,,19,White/Caucasian,,Democrat,,Some college or associate degree,English,,R_3WksQ064xj6JYYN,120834
EN,Female,,20,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_2KryIkmTCOb6eUU,120811
EN,Female,,20,Hispanic or Latino,,Independent,,Some college or associate degree,Spanish,,R_20otlB1Mh4hpvTM,120734
EN,Female,,20,Hispanic or Latino,,Independent,,Some college or associate degree,Spanish,,R_13m40r672zQl4g7,120734
EN,Female,,20,White/Caucasian,,Independent,,Some college or associate degree,Other (please specify),Armenian,R_7lxhI87CHabQjfc,120766
EN,,,,,,,,,,,R_1Pbh66rATg9y96t,120644
EN,Female,,19,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_7Yb9Wkvu2ocVDk1,116251
EN,Female,,19,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_3yazS74o2J9DhjO,116251
EN,Male,,19,Hispanic or Latino,,Prefer not to say,,Some college or associate degree,Spanish,,R_701Ahvlhq3udAHc,120545
EN,Female,,18,Hispanic or Latino,,Democrat,,High school (including GED),Spanish,,R_5KTszjvZUJlIenp,120200
EN,Nonbinary,,18,Asian,,Independent,,High school (including GED),English,,R_1QYUgALf2MKc3vp,120802
EN,Male,,19,Asian,,Democrat,,Some college or associate degree,English,,R_5uP9JJsaCJo6OOz,120968
EN,Male,,20,White/Caucasian,,Republican,,High school (including GED),English,,R_3hhygsS0eMynJ7H,120347
EN,Female,,19,White/Caucasian,,Democrat,,Some college or associate degree,English,,R_8cvY6RMpIIbMEo3,120435
EN,Female,,21,African-American,,Independent,,Some college or associate degree,English,,R_59nXN3KJnjYkf8b,121562
EN,Male,,20,White/Caucasian,,Republican,,High school (including GED),English,,R_5gBJYH1TXEzkJ8L,120347
EN,Female,,21 ,Asian,,Democrat,,High school (including GED),English,,R_12tSZmx8hSuXu6d,120748
EN,Male,,18,Asian,,Prefer not to say,,High school (including GED),Mandarin,,R_5YokSjNXz6HlXal,120416
EN,Male,,18,Asian,,Prefer not to say,,High school (including GED),Mandarin,,R_2KyfqZxEJXtBkzL,120416
EN,Male,,18,"White/Caucasian,African-American",,Democrat,,High school (including GED),English,,R_75PkJGK4ZpN5clP,120298
EN,,,,,,,,,,,R_7YMfR5FstDT1Mkx,120967
EN,Female,,18,Hispanic or Latino,,Republican,,Some college or associate degree,Spanish,,R_5SxAnX25qTwpM5H,120364
EN,Female,,18,Asian,,Independent,,High school (including GED),English,,R_5lSB76siDkwnBL3,120201
EN,,,,,,,,,,,R_1X119S0yjimIheo,120245
EN,Female,,21,Hispanic or Latino,,Don't know,,High school (including GED),Spanish,,R_3Vxfev3MGsXgbK1,120801
EN,Female,,20,White/Caucasian,,Prefer not to say,,Some college or associate degree,English,,R_5PyR4YVF9PC296x,120210
EN,Female,,20,Asian,,Democrat,,Some college or associate degree,English,,R_3Hq0pKoFXUeyfKX,120829
EN,Female,,18,Asian,,Democrat,,High school (including GED),English,,R_1lsKKVQpKnRQfFs,120644
EN,Female,,21,Asian,,Prefer not to say,,Bachelor's degree,English,,R_23fCGTf5Bw4sfo3,121574
EN,Female,,21,Asian,,Prefer not to say,,Bachelor's degree,English,,R_7LzE0pjYtdObtSm,121574
EN,Female,,18,"Asian,Hispanic or Latino",,Don't know,,Some college or associate degree,English,,R_1JOTZSNdzRD5obR,120606
EN,,,,,,,,,,,R_10PGsrT4ZI3POES,120518
EN,Female,,19,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_2GwZX5QWN7xB3d8,116251
EN,Female,,19,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_7OwUL9VEO13T4Sy,116251
EN,Female,,19,"White/Caucasian,Asian",,Don't know,,Some college or associate degree,Other (please specify),Greek,R_2EGDBl6ai8CWmRz,120215
EN,Female,,20,Asian,,Don't know,,High school (including GED),Other (please specify),Tagalog,R_3ekubxwa9Ik5zUP,120739
EN,Female,,18,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_3P7RFUUGxBU9T3j,120472
EN,Female,,18,Asian,,Independent,,High school (including GED),English,,R_1dEQmznFrOUMB26,120760
ZH-S,Male,,18,Asian,,Don't know,,High school (including GED),Mandarin,,R_2M3BSrq6ZzSs0t3,120533
EN,Female,,20,African-American,,Independent,,Some college or associate degree,English,,R_7hZmoK1t3s8IgkC,120419
EN,Female,,20,Asian,,Don't know,,High school (including GED),English,,R_3VjvlLbPe9t3xLs,120965
